"id,""timestamp"",""device_id"",""device_name"",""current"",""voltage"",""power"",""channel"""
"250,""2026-06-09T11:38:29.405148"",""esp32-01"",""esp32-01"",""0.449"",""230"",""103.4"","""""
"249,""2026-06-09T11:38:24.186517"",""esp32-01"",""esp32-01"",""0.454"",""230"",""104.3"","""""
"248,""2026-06-09T11:38:18.961731"",""esp32-01"",""esp32-01"",""0.45"",""230"",""103.4"","""""
"247,""2026-06-09T11:38:13.816142"",""esp32-01"",""esp32-01"",""8.463"",""230"",""1946.6"","""""
"246,""2026-06-09T11:38:08.593900"",""esp32-01"",""esp32-01"",""8.473"",""230"",""1948.7"","""""
"245,""2026-06-09T11:38:03.370324"",""esp32-01"",""esp32-01"",""8.505"",""230"",""1956.2"","""""
"244,""2026-06-09T11:37:58.147880"",""esp32-01"",""esp32-01"",""8.555"",""230"",""1967.7"","""""
"243,""2026-06-09T11:37:52.852145"",""esp32-01"",""esp32-01"",""0.447"",""230"",""102.7"","""""
"242,""2026-06-09T11:37:47.717353"",""esp32-01"",""esp32-01"",""0.375"",""230"",""86.1"","""""
"241,""2026-06-09T11:37:42.481608"",""esp32-01"",""esp32-01"",""0.88"",""230"",""202.4"","""""
"240,""2026-06-09T11:37:37.259407"",""esp32-01"",""esp32-01"",""0.016"",""230"",""3.7"","""""
"239,""2026-06-09T11:37:31.965578"",""esp32-01"",""esp32-01"",""0.015"",""230"",""3.4"","""""
"238,""2026-06-09T11:37:27.045438"",""esp32-01"",""esp32-01"",""0.016"",""230"",""3.6"","""""
"237,""2026-06-09T11:37:21.606776"",""esp32-01"",""esp32-01"",""0.016"",""230"",""3.6"","""""
"236,""2026-06-09T11:37:16.270755"",""esp32-01"",""esp32-01"",""0.015"",""230"",""3.5"","""""
"235,""2026-06-09T11:37:11.352640"",""esp32-01"",""esp32-01"",""0.015"",""230"",""3.5"","""""
"234,""2026-06-09T11:37:05.925267"",""esp32-01"",""esp32-01"",""0.015"",""230"",""3.4"","""""
"233,""2026-06-09T11:37:00.596612"",""esp32-01"",""esp32-01"",""0.014"",""230"",""3.1"","""""
"232,""2026-06-09T11:36:55.480120"",""esp32-01"",""esp32-01"",""0.015"",""230"",""3.5"","""""
"231,""2026-06-09T11:36:50.258186"",""esp32-01"",""esp32-01"",""0.017"",""230"",""3.9"","""""
"230,""2026-06-09T11:36:44.933844"",""esp32-01"",""esp32-01"",""0.014"",""230"",""3.2"","""""
"229,""2026-06-09T11:36:39.509806"",""esp32-01"",""esp32-01"",""0.016"",""230"",""3.7"","""""
"228,""2026-06-09T11:36:34.384979"",""esp32-01"",""esp32-01"",""0.016"",""230"",""3.7"","""""
"227,""2026-06-09T11:36:29.162971"",""esp32-01"",""esp32-01"",""0.014"",""230"",""3.2"","""""
"226,""2026-06-09T11:36:23.940517"",""esp32-01"",""esp32-01"",""0.014"",""230"",""3.2"","""""
"225,""2026-06-09T11:36:18.622533"",""esp32-01"",""esp32-01"",""0.016"",""230"",""3.6"","""""
"224,""2026-06-09T11:36:13.599009"",""esp32-01"",""esp32-01"",""1.232"",""230"",""283.3"","""""
"223,""2026-06-09T11:36:07.961121"",""esp32-01"",""esp32-01"",""0.014"",""230"",""3.2"","""""
"222,""2026-06-09T11:36:02.752125"",""esp32-01"",""esp32-01"",""0.016"",""230"",""3.7"","""""
"221,""2026-06-09T11:35:57.522023"",""esp32-01"",""esp32-01"",""0.016"",""230"",""3.7"","""""
"220,""2026-06-09T11:35:52.293453"",""esp32-01"",""esp32-01"",""0.014"",""230"",""3.2"","""""
"219,""2026-06-09T11:35:47.069950"",""esp32-01"",""esp32-01"",""0.014"",""230"",""3.3"","""""
"218,""2026-06-09T11:35:41.852736"",""esp32-01"",""esp32-01"",""0.016"",""230"",""3.7"","""""
"217,""2026-06-09T11:35:36.840293"",""esp32-01"",""esp32-01"",""0.014"",""230"",""3.1"","""""
"216,""2026-06-09T11:35:31.409662"",""esp32-01"",""esp32-01"",""0.015"",""230"",""3.4"","""""
"215,""2026-06-09T11:35:26.290623"",""esp32-01"",""esp32-01"",""0.014"",""230"",""3.2"","""""
"214,""2026-06-09T11:35:20.873034"",""esp32-01"",""esp32-01"",""0.016"",""230"",""3.6"","""""
"213,""2026-06-09T11:35:15.650478"",""esp32-01"",""esp32-01"",""0.015"",""230"",""3.5"","""""
"212,""2026-06-09T11:35:10.523565"",""esp32-01"",""esp32-01"",""0.016"",""230"",""3.6"","""""
"211,""2026-06-09T11:35:05.297291"",""esp32-01"",""esp32-01"",""0.015"",""230"",""3.4"","""""
"210,""2026-06-09T11:35:00.299293"",""esp32-01"",""esp32-01"",""0.016"",""230"",""3.8"","""""
"209,""2026-06-09T11:34:54.822595"",""esp32-01"",""esp32-01"",""0.015"",""230"",""3.4"","""""
"208,""2026-06-09T11:34:49.551706"",""esp32-01"",""esp32-01"",""0.014"",""230"",""3.2"","""""
"207,""2026-06-09T11:34:44.319744"",""esp32-01"",""esp32-01"",""0.016"",""230"",""3.7"","""""
"206,""2026-06-09T11:34:39.186505"",""esp32-01"",""esp32-01"",""0.016"",""230"",""3.6"","""""
"205,""2026-06-09T11:34:33.964046"",""esp32-01"",""esp32-01"",""0.015"",""230"",""3.5"","""""
"204,""2026-06-09T11:34:28.742094"",""esp32-01"",""esp32-01"",""0.015"",""230"",""3.4"","""""
"203,""2026-06-09T11:34:23.425956"",""esp32-01"",""esp32-01"",""0.015"",""230"",""3.4"","""""
"202,""2026-06-09T11:34:18.202156"",""esp32-01"",""esp32-01"",""0.015"",""230"",""3.6"","""""
